"Data Source","World Development Indicators",

"Last Updated Date","2018-11-14",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017",
"Aruba","ABW","Arms exports (SIPRI trend indicator values)","MS.MIL.XPRT.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","18000000","","","","","","","","","","","","","","","","","","","","","",
"Afghanistan","AFG","Arms exports (SIPRI trend indicator values)","MS.MIL.XPRT.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1000000","","","","","","","","","","","","","","","","","","","","","","","","","",
"Angola","AGO","Arms exports (SIPRI trend indicator values)","MS.MIL.XPRT.KD","","","","","","","","","","","","","","","","","","","","3000000","0","","","","","","","","","","","","8000000","","","","","","","","","","2000000","","","","","","","","","","","","","","","",
"Albania","ALB","Arms exports (SIPRI trend indicator values)","MS.MIL.XPRT.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","","","","","","",
"Andorra","AND","Arms exports (SIPRI trend indicator values)","MS.MIL.XPRT.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Arab World","ARB","Arms exports (SIPRI trend indicator values)","MS.MIL.XPRT.KD","3000000","0","9000000","8000000","2000000","","13000000","12000000","35000000","21000000","53000000","","2000000","","","","4000000","","","","","217000000","","","98000000","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"United Arab Emirates","ARE","Arms exports (SIPRI trend indicator values)","MS.MIL.XPRT.KD","","","","","","","","","","","","","","","8000000","","","","","","","","","14000000","","","","1000000","","","2000000","","","","","28000000","6000000","32000000","","","","","","","3000000","11000000","17000000","3000000","1000000","34000000","39000000","3000000","","33000000","30000000","112000000","73000000","72000000",
"Argentina","ARG","Arms exports (SIPRI trend indicator values)","MS.MIL.XPRT.KD","","","6000000","","4000000","","","0","8000000","","0","","11000000","","","","1000000","","","8000000","1000000","24000000","3000000","1000000","","","","4000000","1000000","","6000000","0","","11000000","4000000","5000000","","","","","2000000","6000000","2000000","","","","2000000","","","","","1000000","","","","","","",
"Armenia","ARM","Arms exports (SIPRI trend indicator values)","MS.MIL.XPRT.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"American Samoa","ASM","Arms exports (SIPRI trend indicator values)","MS.MIL.XPRT.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Antigua and Barbuda","ATG","Arms exports (SIPRI trend indicator values)","MS.MIL.XPRT.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Australia","AUS","Arms exports (SIPRI trend indicator values)","MS.MIL.XPRT.KD","","2000000","2000000","","","","","","","26000000","17000000","36000000","6000000","72000000","92000000","131000000","113000000","62000000","21000000","22000000","15000000","15000000","24000000","31000000","62000000","13000000","57000000","89000000","18000000","18000000","158000000","85000000","","30000000","36000000","36000000","16000000","20000000","4000000","","","43000000","47000000","44000000","2000000","49000000","14000000","18000000","25000000","80000000","115000000","143000000","45000000","54000000","97000000","87000000","134000000","97000000",
"Austria","AUT","Arms exports (SIPRI trend indicator values)","MS.MIL.XPRT.KD","","","","","0","0","1000000","1000000","1000000","1000000","1000000","1000000","1000000","1000000","0","0","","","37000000","126000000","54000000","70000000","60000000","56000000","58000000","348000000","40000000","30000000","12000000","12000000","30000000","20000000","20000000","10000000","17000000","","18000000","1000000","29000000","23000000","24000000","17000000","83000000","3000000","3000000","4000000","63000000","100000000","15000000","42000000","48000000","51000000","24000000","29000000","15000000","10000000","15000000","22000000",
"Azerbaijan","AZE","Arms exports (SIPRI trend indicator values)","MS.MIL.XPRT.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
