"TIV of arms exports from all, 1950-2017",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Figures are SIPRI Trend Indicator Values (TIVs) expressed in millions.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Figures may not add up due to the conventions of rounding.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A '0' indicates that the value of deliveries is less than 0.5m,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"For more information, see http://www.sipri.org/databases/armstransfers/sources-and-methods/",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Source: SIPRI Arms Transfers Database,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Generated: 05 December 2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,Total
Aircraft,5736,7381,11673,15712,13909,12211,14040,13810,16098,10432,7206,7632,8119,11220,14630,12975,11804,12369,12759,14281,12035,17202,17388,17297,18251,19777,17112,17065,18452,17653,19823,20964,21231,20270,18186,17565,18123,18101,15664,17425,15395,12774,11985,10528,7394,9285,8708,14173,14502,11224,8189,9293,8072,9039,10475,8068,9420,11628,9791,9911,11878,15268,11672,10519,11243,12547,12890,14776,904227
Air defence systems,,,42,42,56,197,358,480,605,1300,1523,1254,1360,1270,2117,2164,1868,1383,1344,2081,2107,2968,2965,3766,3166,3531,4534,6443,6242,4502,4116,3383,3327,2820,2371,3085,2283,3321,3248,2907,1468,1475,587,969,753,660,800,771,865,1043,932,698,725,602,591,934,991,941,1323,1208,1060,1235,1117,1572,1276,2121,2608,1460,121312
Armoured vehicles,1153,1346,2276,2726,3008,2308,3774,3246,3450,3227,3274,3015,2948,2843,3253,3845,3379,3807,4040,4620,5239,5708,6017,5948,6638,4955,4248,6708,7967,6392,5039,6337,7016,6921,7249,5922,5987,5534,4703,3554,3394,3683,3295,5284,3972,3656,3762,3546,2735,2945,2026,1732,2052,1998,1980,2030,3096,3647,3252,3420,3904,3592,3817,2737,2758,2664,3918,2893,267410
Artillery,320,533,624,714,572,819,1002,796,752,656,566,738,651,610,612,685,1207,965,1218,940,924,1003,886,918,831,957,848,747,589,490,725,1037,1311,1558,1455,1676,995,1133,1161,905,570,883,787,374,633,469,559,604,421,346,328,131,194,179,424,459,496,593,550,579,769,718,623,458,260,278,252,174,48240
Engines,468,773,818,1141,1003,1096,1342,1239,1036,942,501,267,272,398,387,305,421,391,385,354,430,642,883,770,735,764,749,680,749,692,697,728,793,728,708,637,717,598,739,833,765,677,603,652,622,657,698,568,543,574,551,601,585,710,932,763,664,774,966,926,1121,1169,1340,1401,1480,1440,1526,1172,52293
Missiles,,,,,,57,55,59,737,1086,727,897,1184,1278,1598,1567,1533,1400,2086,2069,1380,1498,2172,2607,2748,2974,3026,3359,3834,3293,3896,4350,4600,4041,3899,4389,4752,4970,4842,4434,3977,3826,2267,3365,2895,2874,2974,2847,3912,3048,2594,2118,2511,2102,2459,2594,3220,3184,3273,3065,2632,3086,3488,4073,3212,3461,4715,4157,175325
Naval weapons,1,12,,133,40,129,148,181,103,140,169,114,74,108,302,157,82,87,112,69,46,22,132,86,96,132,114,130,189,148,195,239,246,308,221,165,197,118,142,237,141,161,126,117,109,109,162,92,122,78,83,60,111,198,286,224,200,140,176,73,109,145,203,184,255,140,117,161,9401
Other,,,,,,,,,,,,,1,1,1,1,1,1,1,1,,,20,6,6,6,,,24,109,89,56,25,69,87,38,57,22,22,48,59,155,146,100,130,187,255,228,155,315,321,185,137,196,199,124,153,205,223,229,328,259,297,236,162,184,94,126,6079
Satellites,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50,,,,,,,,,100,,100,50,300
Sensors,25,4,74,242,376,380,326,333,364,265,415,524,701,776,983,954,1072,1025,767,848,605,520,598,359,354,727,958,728,806,1022,1386,1668,1605,1947,1939,1543,1312,1531,1798,1622,1398,1449,1296,1213,1326,1331,1221,1014,1168,1118,1011,1215,1164,1158,1290,1378,1451,1484,1373,1103,1279,1471,1630,1816,1636,1759,1511,1118,70862
Ships,931,2371,997,1794,1969,2642,2981,3237,2753,3448,3106,2056,2161,1432,2474,2297,3401,4050,3390,3194,2873,3218,3330,4127,3461,3709,3695,3920,4017,3820,5895,6468,5573,5322,5496,3352,4752,4262,4509,3327,2892,3156,3037,3176,5020,3713,4771,5030,3368,4545,3352,2850,2362,2888,2751,4969,5125,4084,3219,3720,2610,3064,4103,3958,4398,3928,4533,5018,241448
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total,8633,12419,16504,22504,20933,19839,24027,23381,25898,21497,17487,16498,17471,19937,26357,24949,24769,25478,26103,28457,25639,32780,34391,35884,36287,37533,35284,39780,42869,38119,41860,45229,45727,43985,41611,38372,39176,39589,36828,35291,30060,28239,24129,25775,22853,22942,23911,28873,27791,25236,19387,18882,17913,19070,21386,21593,24815,26680,24145,24234,25691,30006,28289,26954,26780,28522,32262,31106,1896897
